price,day_of_week,day,month,last_change,7_day_low,30_day_low,7_day_high,30_day_high,7_day_mean,30_day_mean,date
100110.4647887324,1.0,22.0,11.0,181.9786776212859,91118.95652173914,78866.45070422535,100110.4647887324,100110.4647887324,97375.64550467054,86525.91232918527,2016-11-22
99735.7042253521,2.0,23.0,11.0,-261.2263302034553,93975.72222222222,79957.53968253969,100110.4647887324,100110.4647887324,98606.60946232952,87221.55411322282,2016-11-23
99711.98611111111,3.0,24.0,11.0,-398.4786776212859,96955.29166666667,80365.05555555556,100110.4647887324,100110.4647887324,99426.07573217081,87880.03566084188,2016-11-24
99505.80555555556,4.0,25.0,11.0,-229.8986697965447,99505.80555555556,80365.05555555556,100110.4647887324,100110.4647887324,99790.43485915494,88507.42690663312,2016-11-25
98525.875,5.0,26.0,11.0,-1186.1111111111095,98525.875,80365.05555555556,100110.4647887324,100110.4647887324,99645.03604963112,89111.4495918183,2016-11-26
98722.80281690141,6.0,27.0,11.0,-783.0027386541478,98525.875,80365.05555555556,100110.4647887324,100110.4647887324,99472.79557902973,89717.55301904836,2016-11-27
99879.7205882353,0.0,28.0,11.0,1353.845588235301,98525.875,80775.81081081081,100110.4647887324,100110.4647887324,99456.05129798398,90368.041853471,2016-11-28
99415.0,1.0,29.0,11.0,692.1971830985858,98525.875,80913.55172413793,99879.7205882353,100110.4647887324,99356.69918530792,90989.34815977732,2016-11-29
98853.43548387097,4.0,2.0,12.0,-1026.2851043643313,98525.875,80913.55172413793,99879.7205882353,100110.4647887324,99079.36677780154,92317.18666247385,2016-12-02
98976.35384615384,5.0,3.0,12.0,-438.646153846159,98722.80281690141,80913.55172413793,99879.7205882353,100110.4647887324,99169.46254703231,92950.92356454235,2016-12-03
98797.94444444444,6.0,4.0,12.0,-55.49103942653164,98797.94444444444,81092.02777777778,99879.7205882353,100110.4647887324,99184.49087254092,93589.65187598187,2016-12-04
99607.56338028169,0.0,5.0,12.0,631.2095341278473,98797.94444444444,81883.98550724638,99607.56338028169,100110.4647887324,99130.05943095018,94250.92100464272,2016-12-05
99585.70833333333,1.0,6.0,12.0,787.7638888888905,98797.94444444444,83186.59154929577,99607.56338028169,100110.4647887324,99164.20109761684,94883.12539128869,2016-12-06
99919.81690140846,2.0,7.0,12.0,312.25352112676774,98797.94444444444,83431.97368421052,99919.81690140846,100110.4647887324,99290.13706491544,95480.74058243558,2016-12-07
99895.23943661971,3.0,8.0,12.0,309.53110328638286,98797.94444444444,86833.07462686567,99919.81690140846,100110.4647887324,99376.5802608732,96068.71435930733,2016-12-08
99629.28169014085,4.0,9.0,12.0,-290.5352112676046,98797.94444444444,87641.59722222222,99919.81690140846,100110.4647887324,99487.41543319749,96525.72175442429,2016-12-09
99504.29166666667,5.0,10.0,12.0,-390.9477699530398,98797.94444444444,87641.59722222222,99919.81690140846,100110.4647887324,99562.83512184217,96942.0655044243,2016-12-10
99775.4776119403,6.0,11.0,12.0,146.19592179944448,99504.29166666667,87641.59722222222,99919.81690140846,100110.4647887324,99702.48271719871,97362.79585564439,2016-12-11
100379.56944444444,0.0,12.0,12.0,875.2777777777665,99504.29166666667,87641.59722222222,100379.56944444444,100379.56944444444,99812.76929779339,97813.53692707296,2016-12-12
101050.36111111111,1.0,13.0,12.0,1274.8834991708136,99504.29166666667,89533.55,101050.36111111111,101050.36111111111,100022.0054089045,98292.42135167614,2016-12-13
100509.78260869565,2.0,14.0,12.0,130.2131642512104,99504.29166666667,89533.55,101050.36111111111,101050.36111111111,100106.28622423125,98683.74245674859,2016-12-14
100941.69565217392,3.0,15.0,12.0,-108.66545893719012,99504.29166666667,91118.95652173914,101050.36111111111,101050.36111111111,100255.77996931042,99091.17623004052,2016-12-15
100927.58571428571,4.0,16.0,12.0,417.80310559006466,99504.29166666667,93975.72222222222,101050.36111111111,101050.36111111111,100441.25197275968,99441.48441548862,2016-12-16
101019.31944444444,5.0,17.0,12.0,77.6237922705186,99775.4776119403,96955.29166666667,101050.36111111111,101050.36111111111,100657.68451244223,99693.04145913941,2016-12-17
101168.58333333333,6.0,18.0,12.0,240.99761904761544,100379.56944444444,98525.875,101168.58333333333,101168.58333333333,100856.69961549838,99843.51616152035,2016-12-18
102422.22222222222,0.0,19.0,12.0,1402.902777777781,100509.78260869565,98525.875,102422.22222222222,102422.22222222222,101148.50715518091,99946.32171707592,2016-12-19
103572.81944444444,1.0,20.0,12.0,2404.2361111111095,100509.78260869565,98525.875,103572.81944444444,103572.81944444444,101508.8583456571,100076.47647898066,2016-12-20
104005.25352112677,2.0,21.0,12.0,1583.0312989045487,100927.58571428571,98525.875,104005.25352112677,104005.25352112677,102008.21133314725,100219.63087060823,2016-12-21
